;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_ALM_desc;We've had a good run, but it's time to end our rulership of Altamaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AND_title;Grant Vijayapurids Independence;;;;;;;;;;;;x,,
gtfo_AND_desc;We've had a good run, but it's time to end our rulership of Vijayapurids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANL_title;Grant Anilco Independence;;;;;;;;;;;;x,,
gtfo_ANL_desc;We've had a good run, but it's time to end our rulership of Anilco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ANN_title;Grant Annam Independence;;;;;;;;;;;;x,,
gtfo_ANN_desc;We've had a good run, but it's time to end our rulership of Annam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_APA_title;Grant Apache Independence;;;;;;;;;;;;x,,
gtfo_APA_desc;We've had a good run, but it's time to end our rulership of Apache: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARA_title;Grant de Mauriennes Independence;;;;;;;;;;;;x,,
gtfo_ARA_desc;We've had a good run, but it's time to end our rulership of de Mauriennes: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARK_title;Grant Arakan Independence;;;;;;;;;;;;x,,
gtfo_ARK_desc;We've had a good run, but it's time to end our rulership of Arakan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARL_title;Grant Ardabil Independence;;;;;;;;;;;;x,,
gtfo_ARL_desc;We've had a good run, but it's time to end our rulership of Ardabil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARN_title;Grant Aragon Independence;;;;;;;;;;;;x,,
gtfo_ARN_desc;We've had a good run, but it's time to end our rulership of Aragon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;x,,
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASI_title;Grant Assiniboine Independence;;;;;;;;;;;;x,,
gtfo_ASI_desc;We've had a good run, but it's time to end our rulership of Assiniboine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASM_title;Grant Assam Independence;;;;;;;;;;;;x,,
gtfo_ASM_desc;We've had a good run, but it's time to end our rulership of Assam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AST_title;Grant Australia Independence;;;;;;;;;;;;x,,
gtfo_AST_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATJ_title;Grant Aceh Independence;;;;;;;;;;;;x,,
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Aceh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATR_title;Grant de Santanders Independence;;;;;;;;;;;;x,,
gtfo_ATR_desc;We've had a good run, but it's time to end our rulership of de Santanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUI_title;Grant Kamilaroi Independence;;;;;;;;;;;;x,,
gtfo_AUI_desc;We've had a good run, but it's time to end our rulership of Kamilaroi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUL_title;Grant Larrakia Independence;;;;;;;;;;;;x,,
gtfo_AUL_desc;We've had a good run, but it's time to end our rulership of Larrakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUO_title;Grant Nyoongah Independence;;;;;;;;;;;;x,,
gtfo_AUO_desc;We've had a good run, but it's time to end our rulership of Nyoongah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUS_title;Grant Austria Independence;;;;;;;;;;;;x,,
gtfo_AUS_desc;We've had a good run, but it's time to end our rulership of Austria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUW_title;Grant Wurundjeri Independence;;;;;;;;;;;;x,,
gtfo_AUW_desc;We've had a good run, but it's time to end our rulership of Wurundjeri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWA_title;Grant Oudh Independence;;;;;;;;;;;;x,,
gtfo_AWA_desc;We've had a good run, but it's time to end our rulership of Oudh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AYR_title;Grant Air Independence;;;;;;;;;;;;x,,
gtfo_AYR_desc;We've had a good run, but it's time to end our rulership of Air: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AZT_title;Grant Aztec Independence;;;;;;;;;;;;x,,
gtfo_AZT_desc;We've had a good run, but it's time to end our rulership of Aztec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAU_title;Grant Berau Independence;;;;;;;;;;;;x,,
gtfo_BAU_desc;We've had a good run, but it's time to end our rulership of Berau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAV_title;Grant Bavaria Independence;;;;;;;;;;;;x,,
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BER_title;Grant Baroda Independence;;;;;;;;;;;;x,,
gtfo_BER_desc;We've had a good run, but it's time to end our rulership of Baroda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLA_title;Grant Blackfoot Independence;;;;;;;;;;;;x,,
gtfo_BLA_desc;We've had a good run, but it's time to end our rulership of Blackfoot: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLC_title;Grant Baluchistan Independence;;;;;;;;;;;;x,,
gtfo_BLC_desc;We've had a good run, but it's time to end our rulership of Baluchistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNJ_title;Grant Banjar Independence;;;;;;;;;;;;x,,
gtfo_BNJ_desc;We've had a good run, but it's time to end our rulership of Banjar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNY_title;Grant Bunyoro Independence;;;;;;;;;;;;x,,
gtfo_BNY_desc;We've had a good run, but it's time to end our rulership of Bunyoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOH_title;Grant Czeskia Independence;;;;;;;;;;;;x,,
gtfo_BOH_desc;We've had a good run, but it's time to end our rulership of Czeskia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOS_title;Grant Bosnia Independence;;;;;;;;;;;;x,,
gtfo_BOS_desc;We've had a good run, but it's time to end our rulership of Bosnia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRD_title;Grant Burundi Independence;;;;;;;;;;;;x,,
gtfo_BRD_desc;We've had a good run, but it's time to end our rulership of Burundi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRS_title;Grant Barus Independence;;;;;;;;;;;;x,,
gtfo_BRS_desc;We've had a good run, but it's time to end our rulership of Barus: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRZ_title;Grant Brazil Independence;;;;;;;;;;;;x,,
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BSG_title;Grant Busoga Independence;;;;;;;;;;;;x,,
gtfo_BSG_desc;We've had a good run, but it's time to end our rulership of Busoga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUG_title;Grant Buganda Independence;;;;;;;;;;;;x,,
gtfo_BUG_desc;We've had a good run, but it's time to end our rulership of Buganda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUN_title;Grant Bundelkhand Independence;;;;;;;;;;;;x,,
gtfo_BUN_desc;We've had a good run, but it's time to end our rulership of Bundelkhand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUR_title;Grant Taungu Independence;;;;;;;;;;;;x,,
gtfo_BUR_desc;We've had a good run, but it's time to end our rulership of Taungu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAB_title;Grant Carib Independence;;;;;;;;;;;;x,,
gtfo_CAB_desc;We've had a good run, but it's time to end our rulership of Carib: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAD_title;Grant Caddo Independence;;;;;;;;;;;;x,,
gtfo_CAD_desc;We've had a good run, but it's time to end our rulership of Caddo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAL_title;Grant California Independence;;;;;;;;;;;;x,,
gtfo_CAL_desc;We've had a good run, but it's time to end our rulership of California: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAM_title;Grant Khmer Independence;;;;;;;;;;;;x,,
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of Khmer: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAN_title;Grant Vinland Independence;;;;;;;;;;;;x,,
gtfo_CAN_desc;We've had a good run, but it's time to end our rulership of Vinland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAO_title;Grant Cahokia Independence;;;;;;;;;;;;x,,
gtfo_CAO_desc;We've had a good run, but it's time to end our rulership of Cahokia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CCM_title;Grant Chichimeca Independence;;;;;;;;;;;;x,,
gtfo_CCM_desc;We've had a good run, but it's time to end our rulership of Chichimeca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CCQ_title;Grant Calchaqui Independence;;;;;;;;;;;;x,,
gtfo_CCQ_desc;We've had a good run, but it's time to end our rulership of Calchaqui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CEB_title;Grant Cebu Independence;;;;;;;;;;;;x,,
gtfo_CEB_desc;We've had a good run, but it's time to end our rulership of Cebu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHA_title;Grant Champa Independence;;;;;;;;;;;;x,,
gtfo_CHA_desc;We've had a good run, but it's time to end our rulership of Champa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHC_title;Grant Chu Independence;;;;;;;;;;;;x,,
gtfo_CHC_desc;We've had a good run, but it's time to end our rulership of Chu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHE_title;Grant Cherokee Independence;;;;;;;;;;;;x,,
gtfo_CHE_desc;We've had a good run, but it's time to end our rulership of Cherokee: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHL_title;Grant Chile Independence;;;;;;;;;;;;x,,
gtfo_CHL_desc;We've had a good run, but it's time to end our rulership of Chile: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHM_title;Grant Chimu Independence;;;;;;;;;;;;x,,
gtfo_CHM_desc;We've had a good run, but it's time to end our rulership of Chimu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHN_title;Grant Chickasaw Independence;;;;;;;;;;;;x,,
gtfo_CHN_desc;We've had a good run, but it's time to end our rulership of Chickasaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHT_title;Grant Chorti Independence;;;;;;;;;;;;x,,
gtfo_CHT_desc;We've had a good run, but it's time to end our rulership of Chorti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CKW_title;Grant Chokwe Independence;;;;;;;;;;;;x,,
gtfo_CKW_desc;We've had a good run, but it's time to end our rulership of Chokwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLC_title;Grant Cilicia Independence;;;;;;;;;;;;x,,
gtfo_CLC_desc;We've had a good run, but it's time to end our rulership of Cilicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CMA_title;Grant Colima Independence;;;;;;;;;;;;x,,
gtfo_CMA_desc;We've had a good run, but it's time to end our rulership of Colima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRA_title;Grant Charca Independence;;;;;;;;;;;;x,,
gtfo_CRA_desc;We've had a good run, but it's time to end our rulership of Charca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRK_title;Grant Creek Independence;;;;;;;;;;;;x,,
gtfo_CRK_desc;We've had a good run, but it's time to end our rulership of Creek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRT_title;Grant Carinthia Independence;;;;;;;;;;;;x,,
gtfo_CRT_desc;We've had a good run, but it's time to end our rulership of Carinthia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSH_title;Grant Shun Independence;;;;;;;;;;;;x,,
gtfo_CSH_desc;We've had a good run, but it's time to end our rulership of Shun: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CST_title;Grant Castille Independence;;;;;;;;;;;;x,,
gtfo_CST_desc;We've had a good run, but it's time to end our rulership of Castille: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSU_title;Grant Cusco Independence;;;;;;;;;;;;x,,
gtfo_CSU_desc;We've had a good run, but it's time to end our rulership of Cusco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CUA_title;Grant Charrua Independence;;;;;;;;;;;;x,,
gtfo_CUA_desc;We've had a good run, but it's time to end our rulership of Charrua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CWU_title;Grant Wu Independence;;;;;;;;;;;;x,,
gtfo_CWU_desc;We've had a good run, but it's time to end our rulership of Wu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CXI_title;Grant Xi Independence;;;;;;;;;;;;x,,
gtfo_CXI_desc;We've had a good run, but it's time to end our rulership of Xi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYA_title;Grant Chachapoya Independence;;;;;;;;;;;;x,,
gtfo_CYA_desc;We've had a good run, but it's time to end our rulership of Chachapoya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAK_title;Grant Lakota Independence;;;;;;;;;;;;x,,
gtfo_DAK_desc;We've had a good run, but it's time to end our rulership of Lakota: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DES_title;Grant Nouveaux Pays-Bas Independence;;;;;;;;;;;;x,,
gtfo_DES_desc;We've had a good run, but it's time to end our rulership of Nouveaux Pays-Bas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DJA_title;Grant Jambi Independence;;;;;;;;;;;;x,,
gtfo_DJA_desc;We've had a good run, but it's time to end our rulership of Jambi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLM_title;Grant Dalmatia Independence;;;;;;;;;;;;x,,
gtfo_DLM_desc;We've had a good run, but it's time to end our rulership of Dalmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Mamluks Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Mamluks: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENL_title;Grant England Independence;;;;;;;;;;;;x,,
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of England: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Abyssinia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Abyssinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FEO_title;Grant Theodoro Independence;;;;;;;;;;;;x,,
gtfo_FEO_desc;We've had a good run, but it's time to end our rulership of Theodoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJV_title;Grant Viti Levu Independence;;;;;;;;;;;;x,,
gtfo_FJV_desc;We've had a good run, but it's time to end our rulership of Viti Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJW_title;Grant Vanua Levu Independence;;;;;;;;;;;;x,,
gtfo_FJW_desc;We've had a good run, but it's time to end our rulership of Vanua Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;x,,
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant Francia Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of Francia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRI_title;Grant Frisia Independence;;;;;;;;;;;;x,,
gtfo_FRI_desc;We've had a good run, but it's time to end our rulership of Frisia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FUL_title;Grant Fulo Independence;;;;;;;;;;;;x,,
gtfo_FUL_desc;We've had a good run, but it's time to end our rulership of Fulo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GAM_title;Grant Guamar Independence;;;;;;;;;;;;x,,
gtfo_GAM_desc;We've had a good run, but it's time to end our rulership of Guamar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;x,,
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GER_title;Grant Germany Independence;;;;;;;;;;;;x,,
gtfo_GER_desc;We've had a good run, but it's time to end our rulership of Germany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHR_title;Grant Garhwal Independence;;;;;;;;;;;;x,,
gtfo_GHR_desc;We've had a good run, but it's time to end our rulership of Garhwal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOC_title;Grant Golkonda Independence;;;;;;;;;;;;x,,
gtfo_GOC_desc;We've had a good run, but it's time to end our rulership of Golkonda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRA_title;Grant Granada Independence;;;;;;;;;;;;x,,
gtfo_GRA_desc;We've had a good run, but it's time to end our rulership of Granada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;x,,
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRI_title;Grant Guarani Independence;;;;;;;;;;;;x,,
gtfo_GRI_desc;We've had a good run, but it's time to end our rulership of Guarani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GYN_title;Grant Aquitaine Independence;;;;;;;;;;;;x,,
gtfo_GYN_desc;We've had a good run, but it's time to end our rulership of Aquitaine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAI_title;Grant Haiti Independence;;;;;;;;;;;;x,,
gtfo_HAI_desc;We've had a good run, but it's time to end our rulership of Haiti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;x,,
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAT_title;Grant Hainaut Independence;;;;;;;;;;;;x,,
gtfo_HAT_desc;We've had a good run, but it's time to end our rulership of Hainaut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausa Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDA_title;Grant Haida Independence;;;;;;;;;;;;x,,
gtfo_HDA_desc;We've had a good run, but it's time to end our rulership of Haida: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HES_title;Grant Hesse Independence;;;;;;;;;;;;x,,
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSI_title;Grant Hsipaw Independence;;;;;;;;;;;;x,,
gtfo_HSI_desc;We've had a good run, but it's time to end our rulership of Hsipaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUA_title;Grant Huai Independence;;;;;;;;;;;;x,,
gtfo_HUA_desc;We've had a good run, but it's time to end our rulership of Huai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWH_title;Grant Hawai'i Independence;;;;;;;;;;;;x,,
gtfo_HWH_desc;We've had a good run, but it's time to end our rulership of Hawai'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWK_title;Grant Kaua'i Independence;;;;;;;;;;;;x,,
gtfo_HWK_desc;We've had a good run, but it's time to end our rulership of Kaua'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWM_title;Grant Maui Independence;;;;;;;;;;;;x,,
gtfo_HWM_desc;We've had a good run, but it's time to end our rulership of Maui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWO_title;Grant O'ahu Independence;;;;;;;;;;;;x,,
gtfo_HWO_desc;We've had a good run, but it's time to end our rulership of O'ahu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ILL_title;Grant Illiniwek Independence;;;;;;;;;;;;x,,
gtfo_ILL_desc;We've had a good run, but it's time to end our rulership of Illiniwek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRO_title;Grant Iroquois Independence;;;;;;;;;;;;x,,
gtfo_IRO_desc;We've had a good run, but it's time to end our rulership of Iroquois: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRQ_title;Grant Iraq Independence;;;;;;;;;;;;x,,
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IST_title;Grant Isleta Independence;;;;;;;;;;;;x,,
gtfo_IST_desc;We've had a good run, but it's time to end our rulership of Isleta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ITA_title;Grant Italy Independence;;;;;;;;;;;;x,,
gtfo_ITA_desc;We've had a good run, but it's time to end our rulership of Italy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAP_title;Grant Japan Independence;;;;;;;;;;;;x,,
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JGD_title;Grant Junagarh Independence;;;;;;;;;;;;x,,
gtfo_JGD_desc;We've had a good run, but it's time to end our rulership of Junagarh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIM_title;Grant Jimma Independence;;;;;;;;;;;;x,,
gtfo_JIM_desc;We've had a good run, but it's time to end our rulership of Jimma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIN_title;Grant Jin Independence;;;;;;;;;;;;x,,
gtfo_JIN_desc;We've had a good run, but it's time to end our rulership of Jin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JNN_title;Grant Djenne Independence;;;;;;;;;;;;x,,
gtfo_JNN_desc;We've had a good run, but it's time to end our rulership of Djenne: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAF_title;Grant Kaffa Independence;;;;;;;;;;;;x,,
gtfo_KAF_desc;We've had a good run, but it's time to end our rulership of Kaffa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KBO_title;Grant Kanem Independence;;;;;;;;;;;;x,,
gtfo_KBO_desc;We've had a good run, but it's time to end our rulership of Kanem: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KCX_title;Grant Koch Independence;;;;;;;;;;;;x,,
gtfo_KCX_desc;We've had a good run, but it's time to end our rulership of Koch: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHA_title;Grant Mongolia Independence;;;;;;;;;;;;x,,
gtfo_KHA_desc;We've had a good run, but it's time to end our rulership of Mongolia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIK_title;Grant Kikondja Independence;;;;;;;;;;;;x,,
gtfo_KIK_desc;We've had a good run, but it's time to end our rulership of Kikondja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIO_title;Grant Kiowa Independence;;;;;;;;;;;;x,,
gtfo_KIO_desc;We've had a good run, but it's time to end our rulership of Kiowa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLD_title;Grant Kalundwe Independence;;;;;;;;;;;;x,,
gtfo_KLD_desc;We've had a good run, but it's time to end our rulership of Kalundwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLK_title;Grant Khalkha Independence;;;;;;;;;;;;x,,
gtfo_KLK_desc;We've had a good run, but it's time to end our rulership of Khalkha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNG_title;Grant Kong Independence;;;;;;;;;;;;x,,
gtfo_KNG_desc;We've had a good run, but it's time to end our rulership of Kong: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;x,,
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRC_title;Grant Korchin Independence;;;;;;;;;;;;x,,
gtfo_KRC_desc;We've had a good run, but it's time to end our rulership of Korchin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRW_title;Grant Karagwe Independence;;;;;;;;;;;;x,,
gtfo_KRW_desc;We've had a good run, but it's time to end our rulership of Karagwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSJ_title;Grant Kasanje Independence;;;;;;;;;;;;x,,
gtfo_KSJ_desc;We've had a good run, but it's time to end our rulership of Kasanje: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;x,,
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZB_title;Grant Kazembe Independence;;;;;;;;;;;;x,,
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAC_title;Grant Tzotzil Independence;;;;;;;;;;;;x,,
gtfo_LAC_desc;We've had a good run, but it's time to end our rulership of Tzotzil: if you love something, let it go!;;;;;;;;;;;;x
